Label,SourceImage,CandidateType,CurrentGuess,CrackProbability,UserVerdict,UserVerdictBool
551,260622_316_H_b2_back_CBS_01,original,True,0.501,TRUE,True
500230,260622_316_H_b2_back_CBS_01,bridge_corridor,,0.5,TRUE,True
500057,260622_316_H_b2_back_CBS_01,concavity,,0.5,TRUE,True
500113,260622_316_H_b2_back_CBS_01,concavity,,0.5,TRUE,True
500309,260622_316_H_b2_back_CBS_01,interior_fill,,0.5,TRUE,True
565,260622_316_H_b2_front_CBS_01,original,True,0.501,FALSE,False
409,260622_316_H_b2_front_CBS_01,original,True,0.503,TRUE,True
500174,260622_316_H_b2_front_CBS_01,bridge_corridor,,0.5,TRUE,True
500056,260622_316_H_b2_front_CBS_01,concavity,,0.5,TRUE,True
500111,260622_316_H_b2_front_CBS_01,concavity,,0.5,TRUE,True
500293,260622_316_H_b2_front_CBS_01,interior_fill,,0.5,TRUE,True
500262,260622_316_H_b2_front_CBS_01,interior_fill,,0.5,TRUE,True
322,260622_316_H_b2_front_CBS_02,original,False,0.498,TRUE,True
56,260622_316_H_b2_front_CBS_02,original,False,0.498,TRUE,True
543,260622_316_H_b2_front_CBS_02,original,False,0.497,TRUE,True
172,260622_316_H_b2_front_CBS_02,original,True,0.504,TRUE,True
257,260622_316_H_b2_front_CBS_02,original,True,0.506,TRUE,True
84,260622_316_H_b2_front_CBS_03,original,False,0.499,TRUE,True
86,260622_316_H_b2_front_CBS_03,original,False,0.496,TRUE,True
63,260622_316_H_b2_front_CBS_03,original,True,0.504,TRUE,True
500051,260622_316_H_b2_front_CBS_03,bridge_corridor,,0.5,TRUE,True
500017,260622_316_H_b2_front_CBS_03,concavity,,0.5,TRUE,True
500073,260622_316_H_b2_front_CBS_03,interior_fill,,0.5,TRUE,True
33,260622_316_H_b2_front_CBS_04,original,True,0.503,SKIP,
500035,260622_316_H_b2_front_CBS_04,concavity,,0.5,TRUE,True
500012,260622_316_H_b2_front_CBS_04,concavity,,0.5,TRUE,True
449,260622_316_H_b4_CBS_01,original,True,0.506,TRUE,True
635,260622_316_H_b4_CBS_01,original,False,0.494,TRUE,True
500310,260622_316_H_b4_CBS_01,interior_fill,,0.5,TRUE,True
524,260622_316_H_b4_CBS_02,original,False,0.499,TRUE,True
169,260622_316_H_b4_CBS_02,original,True,0.506,TRUE,True
185,260622_316_H_b4_CBS_02,original,False,0.494,TRUE,True
384,260622_316_H_b4_CBS_02,original,True,0.506,FALSE,False
500074,260622_316_H_b4_CBS_02,concavity,,0.5,TRUE,True
500179,260622_316_H_b4_CBS_02,interior_fill,,0.5,TRUE,True
500339,260622_316_H_b4_CBS_02,interior_fill,,0.5,TRUE,True
500243,260622_316_H_b4_CBS_02,interior_fill,,0.5,TRUE,True
79,260622_316_amb_b3_CBS_01,original,False,0.499,FALSE,False
500020,260622_316_amb_b3_CBS_01,concavity,,0.5,TRUE,True
500029,260622_316_amb_b3_CBS_01,concavity,,0.5,TRUE,True
500046,260622_316_amb_b3_CBS_01,concavity,,0.5,TRUE,True
500025,260622_316_amb_b3_CBS_02,concavity,,0.5,TRUE,True
500005,260708_316_H_b2_front_CBS_001,interior_fill,,0.5,TRUE,True
282,260708_316_H_b2_front_CBS_002,original,False,0.497,TRUE,True
500057,260708_316_H_b2_front_CBS_002,bridge_corridor,,0.5,FALSE,False
142,260708_316_H_b2_front_CBS_003,original,True,0.505,TRUE,True
500136,260708_316_H_b2_front_CBS_003,bridge_corridor,,0.5,TRUE,True
500034,260708_316_H_b2_front_CBS_003,concavity,,0.5,TRUE,True
500090,260708_316_H_b2_front_CBS_003,concavity,,0.5,FALSE,False
109,260708_316_H_b2_front_CBS_004,original,False,0.494,TRUE,True
147,260708_316_H_b2_front_CBS_004,original,False,0.494,FALSE,False
217,260708_316_H_b2_front_CBS_005,original,True,0.504,TRUE,True
500126,260708_316_H_b2_front_CBS_005,bridge_corridor,,0.5,TRUE,True
500123,260708_316_H_b2_front_CBS_005,bridge_corridor,,0.5,TRUE,True
500138,260708_316_H_b2_front_CBS_005,interior_fill,,0.5,TRUE,True
500111,260708_316_H_b2_front_CBS_007,bridge_corridor,,0.5,FALSE,False
500020,260708_316_H_b2_front_CBS_007,concavity,,0.5,TRUE,True
500117,260708_316_H_b2_front_CBS_007,interior_fill,,0.5,TRUE,True
500071,260708_316_H_b2_front_CBS_008,bridge_corridor,,0.5,TRUE,True
500035,260708_316_H_b2_front_CBS_008,concavity,,0.5,FALSE,False
161,260708_316_H_b2_front_CBS_009,original,False,0.498,TRUE,True
128,260708_316_H_b2_front_CBS_011,original,False,0.496,TRUE,True
500106,260708_316_H_b2_front_CBS_011,bridge_corridor,,0.5,TRUE,True
60,260708_316_H_b2_front_CBS_013,original,False,0.493,TRUE,True
500028,260708_316_H_b2_front_CBS_013,concavity,,0.5,TRUE,True
500004,260708_316_H_b2_front_CBS_013,concavity,,0.5,TRUE,True
500013,260708_316_H_b2_front_CBS_014,concavity,,0.5,SKIP,
12,260708_316_H_b2_front_CBS_015,original,False,0.496,FALSE,False
307,260708_316_H_b2_front_CBS_016,original,True,0.503,TRUE,True
175,260708_316_H_b2_front_CBS_016,original,False,0.497,TRUE,True
500141,260708_316_H_b2_front_CBS_016,bridge_corridor,,0.5,TRUE,True
500123,260708_316_H_b2_front_CBS_016,bridge_corridor,,0.5,TRUE,True
500076,260708_316_H_b2_front_CBS_016,concavity,,0.5,TRUE,True
500156,260708_316_H_b2_front_CBS_016,interior_fill,,0.5,TRUE,True
