SourceImage,Label,CorrectedTo
260622_316_H_b2_back_CBS_01,241,erased
260708_316_H_b2_front_CBS_002,141,erased
260708_316_H_b2_front_CBS_002,143,erased
260708_316_H_b2_front_CBS_002,152,erased
260708_316_H_b2_front_CBS_002,166,erased
260708_316_H_b2_front_CBS_001,3,True
260708_316_H_b2_front_CBS_002,132,True
260708_316_H_b2_front_CBS_002,159,True
260708_316_H_b2_front_CBS_002,132,erased
260708_316_H_b2_front_CBS_002,146,erased
260708_316_H_b2_front_CBS_002,147,erased
260708_316_H_b2_front_CBS_002,132,True
260708_316_H_b2_front_CBS_002,134,True
260708_316_H_b2_front_CBS_002,151,True
260708_316_H_b2_front_CBS_002,153,True
260708_316_H_b2_front_CBS_002,154,True
260708_316_H_b2_front_CBS_002,162,True
260708_316_H_b2_front_CBS_002,168,True
260708_316_H_b2_front_CBS_002,171,True
260708_316_H_b2_front_CBS_002,164,erased
260708_316_H_b2_front_CBS_003,100,True
260708_316_H_b2_front_CBS_003,102,True
260708_316_H_b2_front_CBS_003,111,True
260708_316_H_b2_front_CBS_003,140,True
260708_316_H_b2_front_CBS_003,142,True
260708_316_H_b2_front_CBS_003,150,True
260708_316_H_b2_front_CBS_003,151,True
260708_316_H_b2_front_CBS_003,154,True
260708_316_H_b2_front_CBS_003,155,True
260708_316_H_b2_front_CBS_003,156,True
260708_316_H_b2_front_CBS_003,157,True
260708_316_H_b2_front_CBS_003,158,True
260708_316_H_b2_front_CBS_003,162,True
260708_316_H_b2_front_CBS_003,164,True
260708_316_H_b2_front_CBS_003,177,True
260708_316_H_b2_front_CBS_003,179,True
260708_316_H_b2_front_CBS_003,183,True
260708_316_H_b2_front_CBS_003,185,True
260708_316_H_b2_front_CBS_003,91,erased
260708_316_H_b2_front_CBS_003,96,erased
260708_316_H_b2_front_CBS_003,102,erased
260708_316_H_b2_front_CBS_003,108,erased
260708_316_H_b2_front_CBS_003,139,erased
260708_316_H_b2_front_CBS_003,100,True
260708_316_H_b2_front_CBS_003,102,True
260708_316_H_b2_front_CBS_003,111,True
260708_316_H_b2_front_CBS_003,140,True
260708_316_H_b2_front_CBS_003,142,True
260708_316_H_b2_front_CBS_003,150,True
260708_316_H_b2_front_CBS_003,151,True
260708_316_H_b2_front_CBS_003,154,True
260708_316_H_b2_front_CBS_003,155,True
260708_316_H_b2_front_CBS_003,156,True
260708_316_H_b2_front_CBS_003,157,True
260708_316_H_b2_front_CBS_003,158,True
260708_316_H_b2_front_CBS_003,162,True
260708_316_H_b2_front_CBS_003,164,True
260708_316_H_b2_front_CBS_003,177,True
260708_316_H_b2_front_CBS_003,179,True
260708_316_H_b2_front_CBS_003,183,True
260708_316_H_b2_front_CBS_003,185,True
260708_316_H_b2_front_CBS_003,91,erased
260708_316_H_b2_front_CBS_003,96,erased
260708_316_H_b2_front_CBS_003,102,erased
260708_316_H_b2_front_CBS_003,108,erased
260708_316_H_b2_front_CBS_003,139,erased
260708_316_H_b2_front_CBS_003,100,True
260708_316_H_b2_front_CBS_003,102,True
260708_316_H_b2_front_CBS_003,111,True
260708_316_H_b2_front_CBS_003,140,True
260708_316_H_b2_front_CBS_003,142,True
260708_316_H_b2_front_CBS_003,150,True
260708_316_H_b2_front_CBS_003,151,True
260708_316_H_b2_front_CBS_003,154,True
260708_316_H_b2_front_CBS_003,155,True
260708_316_H_b2_front_CBS_003,156,True
